filename,label,snr_db
normal_000.wav,normal,clean
normal_001.wav,normal,clean
normal_002.wav,normal,clean
normal_003.wav,normal,clean
normal_004.wav,normal,clean
normal_005.wav,normal,clean
normal_006.wav,normal,clean
normal_007.wav,normal,clean
normal_008.wav,normal,clean
normal_009.wav,normal,clean
normal_010.wav,normal,clean
normal_011.wav,normal,clean
normal_012.wav,normal,clean
normal_013.wav,normal,clean
normal_014.wav,normal,clean
normal_015.wav,normal,clean
normal_016.wav,normal,clean
normal_017.wav,normal,clean
normal_018.wav,normal,clean
normal_019.wav,normal,clean
fault_000.wav,fault,clean
fault_001.wav,fault,clean
fault_002.wav,fault,clean
fault_003.wav,fault,clean
fault_004.wav,fault,clean
fault_005.wav,fault,clean
fault_006.wav,fault,clean
fault_007.wav,fault,clean
fault_008.wav,fault,clean
fault_009.wav,fault,clean
fault_010.wav,fault,clean
fault_011.wav,fault,clean
fault_012.wav,fault,clean
fault_013.wav,fault,clean
fault_014.wav,fault,clean
fault_015.wav,fault,clean
fault_016.wav,fault,clean
fault_017.wav,fault,clean
fault_018.wav,fault,clean
fault_019.wav,fault,clean
normal_000.wav,normal,20
normal_001.wav,normal,20
normal_002.wav,normal,20
normal_003.wav,normal,20
normal_004.wav,normal,20
normal_005.wav,normal,20
normal_006.wav,normal,20
normal_007.wav,normal,20
normal_008.wav,normal,20
normal_009.wav,normal,20
normal_010.wav,normal,20
normal_011.wav,normal,20
normal_012.wav,normal,20
normal_013.wav,normal,20
normal_014.wav,normal,20
normal_015.wav,normal,20
normal_016.wav,normal,20
normal_017.wav,normal,20
normal_018.wav,normal,20
normal_019.wav,normal,20
fault_000.wav,fault,20
fault_001.wav,fault,20
fault_002.wav,fault,20
fault_003.wav,fault,20
fault_004.wav,fault,20
fault_005.wav,fault,20
fault_006.wav,fault,20
fault_007.wav,fault,20
fault_008.wav,fault,20
fault_009.wav,fault,20
fault_010.wav,fault,20
fault_011.wav,fault,20
fault_012.wav,fault,20
fault_013.wav,fault,20
fault_014.wav,fault,20
fault_015.wav,fault,20
fault_016.wav,fault,20
fault_017.wav,fault,20
fault_018.wav,fault,20
fault_019.wav,fault,20
normal_000.wav,normal,10
normal_001.wav,normal,10
normal_002.wav,normal,10
normal_003.wav,normal,10
normal_004.wav,normal,10
normal_005.wav,normal,10
normal_006.wav,normal,10
normal_007.wav,normal,10
normal_008.wav,normal,10
normal_009.wav,normal,10
normal_010.wav,normal,10
normal_011.wav,normal,10
normal_012.wav,normal,10
normal_013.wav,normal,10
normal_014.wav,normal,10
normal_015.wav,normal,10
normal_016.wav,normal,10
normal_017.wav,normal,10
normal_018.wav,normal,10
normal_019.wav,normal,10
fault_000.wav,fault,10
fault_001.wav,fault,10
fault_002.wav,fault,10
fault_003.wav,fault,10
fault_004.wav,fault,10
fault_005.wav,fault,10
fault_006.wav,fault,10
fault_007.wav,fault,10
fault_008.wav,fault,10
fault_009.wav,fault,10
fault_010.wav,fault,10
fault_011.wav,fault,10
fault_012.wav,fault,10
fault_013.wav,fault,10
fault_014.wav,fault,10
fault_015.wav,fault,10
fault_016.wav,fault,10
fault_017.wav,fault,10
fault_018.wav,fault,10
fault_019.wav,fault,10
normal_000.wav,normal,5
normal_001.wav,normal,5
normal_002.wav,normal,5
normal_003.wav,normal,5
normal_004.wav,normal,5
normal_005.wav,normal,5
normal_006.wav,normal,5
normal_007.wav,normal,5
normal_008.wav,normal,5
normal_009.wav,normal,5
normal_010.wav,normal,5
normal_011.wav,normal,5
normal_012.wav,normal,5
normal_013.wav,normal,5
normal_014.wav,normal,5
normal_015.wav,normal,5
normal_016.wav,normal,5
normal_017.wav,normal,5
normal_018.wav,normal,5
normal_019.wav,normal,5
fault_000.wav,fault,5
fault_001.wav,fault,5
fault_002.wav,fault,5
fault_003.wav,fault,5
fault_004.wav,fault,5
fault_005.wav,fault,5
fault_006.wav,fault,5
fault_007.wav,fault,5
fault_008.wav,fault,5
fault_009.wav,fault,5
fault_010.wav,fault,5
fault_011.wav,fault,5
fault_012.wav,fault,5
fault_013.wav,fault,5
fault_014.wav,fault,5
fault_015.wav,fault,5
fault_016.wav,fault,5
fault_017.wav,fault,5
fault_018.wav,fault,5
fault_019.wav,fault,5
normal_000.wav,normal,0
normal_001.wav,normal,0
normal_002.wav,normal,0
normal_003.wav,normal,0
normal_004.wav,normal,0
normal_005.wav,normal,0
normal_006.wav,normal,0
normal_007.wav,normal,0
normal_008.wav,normal,0
normal_009.wav,normal,0
normal_010.wav,normal,0
normal_011.wav,normal,0
normal_012.wav,normal,0
normal_013.wav,normal,0
normal_014.wav,normal,0
normal_015.wav,normal,0
normal_016.wav,normal,0
normal_017.wav,normal,0
normal_018.wav,normal,0
normal_019.wav,normal,0
fault_000.wav,fault,0
fault_001.wav,fault,0
fault_002.wav,fault,0
fault_003.wav,fault,0
fault_004.wav,fault,0
fault_005.wav,fault,0
fault_006.wav,fault,0
fault_007.wav,fault,0
fault_008.wav,fault,0
fault_009.wav,fault,0
fault_010.wav,fault,0
fault_011.wav,fault,0
fault_012.wav,fault,0
fault_013.wav,fault,0
fault_014.wav,fault,0
fault_015.wav,fault,0
fault_016.wav,fault,0
fault_017.wav,fault,0
fault_018.wav,fault,0
fault_019.wav,fault,0
